t_id_predio;t_id_terreno_1;t_id_terreno_2
664462;1119795;1160755
695491;1089730;1093868
975243;1133804;1112888
1027758;1072840;1128827
995381;1103305;1115574
1015868;1086349;1113759
668998;1086495;1073522
1043318;1104045;1073107
777057;1081630;1100298
1070416;1161931;1095190
661617;1073709;1158560
703292;1103300;1118009
801281;1080957;1097963
832630;1159020;1086722
861763;1149196;1073439
679013;1140442;1134999
987884;1149747;1132494
699219;1175036;1073602
858502;1153582;1128335
971567;1100191;1078605
968349;1072457;1073869
974263;1150742;1119748
984209;1142943;1171273
763212;1116962;1082307
672914;1113154;1100298
1042307;1091914;1131377
804882;1171867;1100547
701869;1126343;1072755
1044514;1072754;1094610
929308;1107543;1089649
660334;1072990;1150810
783209;1152377;1092019
923540;1073747;1152714
1069559;1164148;1094992
1047356;1100298;1163797
688347;1158719;1079006
828919;1074452;1150078
1009030;1103430;1172111
661173;1096646;1072503
812370;1156919;1103258
661894;1094079;1136505
751646;1150609;1156747
707123;1100298;1140522
1000701;1073626;1136397
740706;1073447;1073444
923402;1137476;1156133
3012409;1103681;1146889
673095;1176211;1100547
668169;1166597;1073849
736502;1091074;1073513
967787;1109175;1085102
673095;1086042;1100547
975243;1085734;1112888
941774;1078068;1176806
659363;1173968;1073671
939107;1101638;1121415
1033968;1144507;1178665
687324;1073626;1085381
663515;1073626;1120374
1033980;1073558;1095248
930150;1136530;1140059
828919;1167985;1150078
1015147;1097963;1155294
1015868;1096675;1113759
662141;1165151;1073867
931458;1111087;1133539
875353;1078710;1126081
891573;1073966;1093134
914506;1166277;1159020
888456;1159973;1120533
661477;1073646;1162084
983534;1172115;1073912
691976;1154179;1100547
661449;1095185;1073626
960948;1098345;1085886
894712;1106428;1073841
1025354;1101638;1146485
673913;1073592;1113848
1025354;1101638;1157330
979556;1149981;1091174
1054510;1144443;1150078
812180;1083139;1100191
848573;1076754;1083358
768015;1166643;1169898
689601;1072487;1072472
1057472;1150296;1120742
828979;1129288;1151915
1072413;1072496;1123319
661375;1073566;1176426
1020746;1119837;1124414
862387;1106015;1161259
745680;1174795;1081863
828919;1150078;1096155
691547;1080344;1101638
673095;1166372;1100547
878019;1084741;1137122
845979;1117608;1073888
922084;1097963;1074862
658901;1161186;1073744
895098;1114114;1073838
787245;1132642;1159216
758996;1100298;1135117
659845;1072745;1080183
661173;1072503;1085538
708710;1160755;1104726
776474;1113655;1122214
828919;1150078;1086652
903543;1124569;1106968
683351;1150078;1073996
1025354;1101638;1110644
713081;1145163;1157498
779658;1117125;1073763
673095;1100547;1099709
828919;1106624;1150078
967852;1127302;1142943
1025354;1101638;1087105
990045;1103523;1159293
823244;1080353;1101892
1001721;1123816;1153011
695798;1085534;1076816
1025354;1136677;1101638
936609;1132785;1141415
1058156;1073951;1157212
677726;1159756;1101638
661351;1073550;1143061
921179;1144271;1158932
1023258;1140589;1093655
1033936;1135839;1112422
1014837;1073289;1134825
962731;1073837;1108044
792693;1111087;1078060
758996;1100298;1120061
661715;1073841;1073769
661155;1143884;1072486
977037;1105717;1111087
661185;1102818;1072854
838710;1149473;1073542
678868;1144097;1113751
912130;1136875;1101055
958370;1073679;1165769
715315;1165648;1150217
831796;1078837;1096994
1040771;1117520;1123587
973729;1099754;1101638
1045496;1073909;1121489
775472;1085753;1073653
1058160;1073966;1178847
658901;1073744;1127712
706927;1100547;1102983
1055959;1098346;1113898
808438;1100298;1134633
937577;1074535;1072853
769482;1080012;1146295
902353;1073905;1100547
1061702;1073583;1175784
862387;1106015;1162460
838710;1149473;1078295
785462;1143922;1094740
788985;1167760;1073658
944046;1083205;1131377
668169;1156945;1073849
719303;1154438;1076445
660139;1101130;1072917
940435;1097963;1106624
926982;1073917;1152282
1024295;1170606;1118706
863182;1079186;1087814
853745;1073488;1147001
956819;1141052;1146338
673095;1143626;1100547
664802;1073666;1135144
747441;1160464;1073967
1054520;1144507;1093277
937577;1108958;1072853
661262;1168570;1073613
661355;1073547;1138718
946660;1073677;1108868
967067;1112605;1150700
975658;1075355;1100547
752636;1100298;1117043
659305;1076062;1073492
673700;1161599;1073457
673095;1100934;1100547
868671;1072484;1139312
1028172;1121189;1072810
903015;1101638;1075368
895328;1073577;1094914
660703;1073193;1171172
735427;1073626;1097150
743864;1082480;1073124
787351;1100298;1103779
851968;1129003;1078068
940435;1097963;1141148
908495;1110843;1073607
974848;1145825;1129335
1046693;1099436;1073608
738637;1090983;1090794
995554;1073631;1165234
683870;1119122;1073631
